Tu 2-6P, 2007 VALLEY LSB
Tu 2-6P, 2007 VALLEY LSB
W 9-1P, 2005 VALLEY LSB
W 2-6P, 2005 VALLEY LSB
Th 9-1P, 2005 VALLEY LSB
Th 2-6P, 2005 VALLEY LSB
W 5-7P, 2 EVANS
TuTh 11-1230P, 159 MULFORD
Tu 1-2P, 228 DWINELLE
Tu 2-3P, 251 DWINELLE
Tu 4-5P, 4 EVANS
W 12-1P, 54 BARROWS
W 1-2P, 121 LATIMER
W 2-3P, 187 DWINELLE
TuTh 1230-2P, 156 DWINELLE
TuTh 2-330P, 229 DWINELLE
TuTh 5-630P, 287 DWINELLE
MWF 12-1P, 109 DWINELLE
W 3-6P, 288 DWINELLE
M 330-630P, 288 DWINELLE
Th 2-5P, 288 DWINELLE
W 4-6P, F295 HAAS
MWF 9-10A, WHEELER AUD
Tu 8-9A, C335 CHEIT
Tu 9-10A, C335 CHEIT
Tu 10-11A, C335 CHEIT
Tu 11-12P, C335 CHEIT
Tu 12-1P, C335 CHEIT
W 8-9A, C335 CHEIT
W 10-11A, C335 CHEIT
W 11-12P, C335 CHEIT
W 12-1P, C335 CHEIT
W 1-2P, C335 CHEIT
Th 8-9A, C335 CHEIT
Th 9-10A, C335 CHEIT
Th 10-11A, C335 CHEIT
Th 11-12P, C335 CHEIT
Th 12-1P, C335 CHEIT
Th 1-2P, C335 CHEIT
Tu 1-2P, C335 CHEIT
Tu 2-3P, C335 CHEIT
W 2-3P, C335 CHEIT
Th 2-3P, C335 CHEIT
Th 8-11A, C320 CHEIT
Tu 12-2P, C325 CHEIT
M 10-12P, C320 CHEIT
W 12-2P, C320 CHEIT
Th 2-4P, C330 CHEIT
Th 4-6P, C320 CHEIT
W 2-4P, C325 CHEIT
MW 1230-2P, C230 CHEIT
F 8-930A, C125 CHEIT
F 930-11A, C125 CHEIT
MW 330-5P, C230 CHEIT
F 11-1230P, C125 CHEIT
F 330-5P, C125 CHEIT
TuTh 1230-2P, C125 CHEIT
F 1-2P, C220 CHEIT
MW 930-11A, C230 CHEIT
F 8-9A, 20 BARROWS
F 9-10A, 20 BARROWS
MW 11-1230P, C210 CHEIT
F 10-11A, 20 BARROWS
TuTh 930-11A, C230 CHEIT
F 8-9A, C220 CHEIT
F 9-10A, C220 CHEIT
TuTh 2-330P, C230 CHEIT
F 12-1P, C220 CHEIT
F 9-10A, 166 BARROWS
